codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
FIVN11,Shoppings,"R$ 3,13",1436.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 67.085.424,41","R$ 7,13","0,44",N/A,N/A,N/A,N/A,"56,00%",N/A,1
BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 433.264.649,61","R$ 11,54","1,27",N/A,N/A,N/A,N/A,N/A,N/A,0
XTED11,Lajes Corporativas,"R$ 6,89",201.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%","R$ 25.555.410,13","R$ 14,26","0,48",N/A,N/A,N/A,N/A,"0,00%","100,00%",1
ALMI11,Lajes Corporativas,"R$ 1.090,00",28.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%","R$ 221.318.898,42","R$ 1.990,69","0,55",N/A,N/A,N/A,N/A,"68,15%",N/A,1
DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 271.169.512,09","R$ 1.109,62","0,40",N/A,N/A,N/A,N/A,"23,44%",N/A,1
PABY11,Híbrido,"R$ 13,08",163.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%","R$ -4.939.249,04","R$ -6,51","-2,01",N/A,N/A,N/A,N/A,N/A,N/A,1
RBCB11,Outros,"R$ 19,00",161.0,"R$ 0,00","0,00%","0,29%","4,38%","14,62%","0,10%","0,73%","1,22%","4,38%","-71,35%","-71,35%","-75,16%","R$ 0,00","R$ 0,00",Inf,N/A,N/A,N/A,N/A,N/A,N/A,0
KNRE11,Residencial,"R$ 2,92",16482.0,"R$ 0,26","3,92%","5,11%","5,11%","9,25%","1,70%","0,85%","0,77%","7,82%","5,28%","9,41%","-24,78%","R$ 59.706.671,32","R$ 3,22","0,91",N/A,N/A,N/A,N/A,N/A,N/A,0
FMOF11,Lajes Corporativas,"R$ 72,49",7.0,"R$ 0,27","0,25%","1,06%","1,06%","3,09%","0,35%","0,18%","0,26%","1,06%","22,10%","22,40%","19,19%","R$ 67.168.286,31","R$ 132,22","0,55",N/A,N/A,N/A,N/A,"47,92%",N/A,1
ATSA11,Shoppings,"R$ 111,50",77.0,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,37%","0,74%","0,92%","1,10%","R$ 173.175.166,97","R$ 98,89","1,13",N/A,N/A,N/A,N/A,"20,70%",N/A,1
