codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
FIVN11,Shoppings,3.13,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,67085424.41,7.13,0.44,,,,,0.56,,1
BZLI11,Títulos e Val. Mob.,14.7,44041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068000000000000005,0.0068000000000000005,0.011399999999999999,433264649.61,11.54,1.27,,,,,,,0
XTED11,Lajes Corporativas,6.89,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.011000000000000001,-0.37829999999999997,25555410.13,14.26,0.48,,,,,0.0,1.0,1
ALMI11,Lajes Corporativas,1090.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227,0.0227,-0.2829,221318898.42,1990.69,0.55,,,,,0.6815000000000001,,1
DOMC11,Lajes Corporativas,439.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0435,-0.1,271169512.09,1109.62,0.4,,,,,0.23440000000000003,,1
PABY11,Híbrido,13.08,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1984,-0.1984,-0.31620000000000004,-4939249.04,-6.51,-2.01,,,,,,,1
RBCB11,Outros,19.0,161.0,0.0,0.0,0.0029,0.0438,0.1462,0.001,0.0073,0.012199999999999999,0.0438,-0.7134999999999999,-0.7134999999999999,-0.7515999999999999,0.0,0.0,inf,,,,,,,0
KNRE11,Residencial,2.92,16482.0,0.26,0.0392,0.051100000000000007,0.051100000000000007,0.0925,0.017,0.0085,0.0077,0.0782,0.0528,0.0941,-0.24780000000000002,59706671.32,3.22,0.91,,,,,,,0
FMOF11,Lajes Corporativas,72.49,7.0,0.27,0.0025,0.0106,0.0106,0.030899999999999997,0.0034999999999999996,0.0018,0.0026,0.0106,0.221,0.22399999999999998,0.19190000000000002,67168286.31,132.22,0.55,,,,,0.4792,,1
ATSA11,Shoppings,111.5,77.0,0.25,0.0018,0.0059,0.013000000000000001,0.0297,0.002,0.0022,0.0025,0.0037,0.0074,0.0092,0.011000000000000001,173175166.97,98.89,1.13,,,,,0.207,,1
XPHT11,Hotel,86.0,3221.0,0.34,0.004,0.0105,0.0223,0.0,0.0034999999999999996,0.0037,0.0,0.0105,-0.1827,-0.1794,-0.1689,331147254.97,87.04,0.99,,,,,0.7829999999999999,,5
HTMX11,Hotel,108.89,1520.0,0.0,0.0,0.008,0.022000000000000002,0.0541,0.0027,0.0037,0.0045000000000000005,0.008,-0.2814,-0.2814,-0.3226,164711317.18,131.03,0.83,,,,,0.74,,23
BPML11,Shoppings,87.8,514.0,0.28,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0031,0.0031,593924891.79,137.96,0.64,,,,,0.057999999999999996,,7
GSFI11,Shoppings,3.51,5268.0,0.0,0.0003,0.0003,0.0003,0.0003,0.0001,0.0,0.0,0.0003,0.0,0.0003,0.0003,949452751.19,13.86,0.25,,,,,0.102,,10
NEWU11,Lajes Corporativas,40.48,5.0,0.0,0.0,0.0,0.005600000000000001,0.1663,0.0,0.0009,0.0139,0.0060999999999999995,-0.0404,-0.0404,-0.31620000000000004,48016274.76,64.71,0.63,,,,,0.6990000000000001,,3
MGCR11,,102.9,3066.0,0.9,0.0091,0.0235,0.0,0.0,0.0078000000000000005,0.0,0.0,0.016399999999999998,0.0296,0.039,0.04650000000000001,68653889.17,95.36,1.08,,,,,,,0
PRSV11,Lajes Corporativas,147.2,987.0,1.62,0.0042,0.015300000000000001,0.0291,0.059500000000000004,0.0051,0.0048,0.005,0.0446,0.053,0.0574,-0.1125,45987501.51,235.83,0.62,,,,,0.409,,2
CARE11,Híbrido,0.56,132019.0,0.0,0.0024,0.0069,0.0069,0.0069,0.0023,0.0012,0.0006,0.0069,-0.0581,-0.0559,-0.12300000000000001,278730566.18,1.56,0.36,,,,,,,0
FAMB11B,Lajes Corporativas,1255.0,24.0,9.16,0.005600000000000001,0.0217,0.0478,0.1043,0.0072,0.008,0.0087,0.0882,-0.478,-0.47509999999999997,-0.478,366860312.72,3500.58,0.36,,,,,0.0,,1
CJCT11,Lajes Corporativas,62.0,1041.0,0.33,0.0060999999999999995,0.0074,0.009399999999999999,0.0096,0.0025,0.0016,0.0008,0.0096,0.1924,0.1996,-0.0915,183253662.17,67.62,0.92,,,,,0.59,,1
GRLV11,Logística,145.5,54618.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6081,6407890.29,5.97,24.38,,,,,0.037000000000000005,0.034,0
CXTL11,Logística,295.0,37.0,0.55,0.0015,0.0026,0.0124,0.024900000000000002,0.0009,0.0021,0.0021,0.0015,0.0,0.0015,0.0015,39103828.09,729.59,0.4,,,,,0.6809999999999999,0.711,4
NVIF11B,Outros,,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,61008050.48,180.82,,,,,,,,0
SCPF11,Shoppings,9.09,275.0,0.05,0.0054,0.0139,0.0176,0.0407,0.0046,0.0029,0.0034000000000000002,0.0054,0.0,0.0054,0.0054,53127774.65,12.65,0.72,,,,,0.251,,1
DRIT11B,Lajes Corporativas,109.79,14.0,0.3,0.0025,0.0085,0.0184,0.0379,0.0028000000000000004,0.0031,0.0032,0.0048,-0.0783,-0.076,-0.0738,60793226.17,131.22,0.84,,,,,0.2372,,6
ARCT11,Híbrido,109.0,2846.0,5.37,0.038599999999999995,0.0526,0.0959,0.0,0.0175,0.016,0.0,0.0458,0.0,0.038599999999999995,0.0461,44773404.5,103.14,1.06,,,,,,,2
RBDS11,Residencial,20.81,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847464.42,22.51,0.92,,,,,,,0
RBRD11,Híbrido,59.78,587.0,0.02,0.0004,0.0019,0.0507,0.2353,0.0006,0.0085,0.0196,0.001,-0.1401,-0.1398,-0.1392,129738852.23,70.06,0.85,,,,,0.3172,,4
FVPQ11,Shoppings,140.96,330.0,1.4,0.0101,0.0143,0.019,0.0513,0.0048,0.0032,0.0043,0.0138,-0.0311,-0.0213,-0.0177,549474596.2,196.23,0.72,,,,,0.057999999999999996,,1
SPVJ11,Outros,,,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,397479378.98,107.16,,,,,,,,0
HOSI11,Híbrido,80.7,199.0,0.56,0.0067,0.019,0.0379,0.0,0.0063,0.0063,0.0,0.013300000000000001,-0.019,-0.0124,-0.0059,53290536.43,92.93,0.87,,,,,,,2
RBGS11,Shoppings,38.62,1037.0,0.28,0.006999999999999999,0.0177,0.0177,0.0516,0.0059,0.0029,0.0043,0.0165,-0.0333,-0.026600000000000002,-0.0173,98027491.89,90.93,0.42,,,,,0.115,,1
WPLZ11,Shoppings,64.9,22.0,0.1,0.0015,0.0015,0.0,0.0,0.0005,0.0,0.0,0.0015,-0.0364,-0.035,-0.035,107307294.75,105.13,0.62,,,,,0.083,,1
HMOC11,Shoppings,226.95,115.0,51.82,0.22829999999999998,0.2371,0.2488,0.2551,0.079,0.0415,0.0213,0.2371,0.0,0.22829999999999998,0.23920000000000002,91223530.5,238.79,0.95,,,,,0.018000000000000002,,1
FATN11,Híbrido,94.04,306.0,0.66,0.0064,0.0183,0.0354,0.0665,0.0060999999999999995,0.0059,0.0055000000000000005,0.0126,0.028999999999999998,0.0356,0.042,53957885.6,100.34,0.94,,,,,0.0,,7
BREV11,Híbrido,108.05,2.0,0.4,0.0037,0.0104,0.0216,0.0,0.0034999999999999996,0.0036,0.0,0.0062,-0.051399999999999994,-0.0479,-0.0455,98965468.76,105.82,1.02,,,,,0.21,,12
FLMA11,Híbrido,2.79,42685.0,0.01,0.0042,0.010700000000000001,0.018000000000000002,0.0317,0.0036,0.003,0.0026,0.0077,-0.0633,-0.0594,-0.056100000000000004,215068478.29,3.12,0.9,,,,,0.06,,2
CPFF11,Híbrido,82.48,7985.0,0.8,0.0096,0.030600000000000002,0.0533,0.0699,0.0102,0.0089,0.0058,0.0191,-0.0227,-0.013300000000000001,-0.004,340317296.98,85.64,0.96,,,,,,,0
BLMR11,,92.4,9023.0,0.45,0.005,,,,,,,,,,,247903995.9,97.06,0.95,,,,,,,0
MAXR11,Outros,1850.0,149.0,13.6,0.0072,0.0191,0.0373,0.0757,0.0064,0.0062,0.0063,0.0072,0.0,0.0072,0.0072,132421848.81,2235.16,0.83,,,,,0.0,,8
BRCR11,Híbrido,81.9,28203.0,0.48,0.005600000000000001,0.0166,0.0325,0.0621,0.0055000000000000005,0.0054,0.0052,0.005600000000000001,0.0,0.005600000000000001,0.005600000000000001,2863711202.93,107.5,0.76,,,,,0.205,0.083,14
JRDM11,Shoppings,68.48,607.0,0.32,0.0048,0.0103,0.0128,0.015300000000000001,0.0034000000000000002,0.0021,0.0013,0.0048,0.0,0.0048,0.0048,220607172.53,87.44,0.78,,,,,0.05,,1
BMLC11,Lajes Corporativas,92.9,234.0,0.5,0.0053,0.019,0.037200000000000004,0.0741,0.0063,0.0062,0.0062,0.011000000000000001,-0.0072,-0.002,0.0038,106654620.83,106.83,0.87,,,,,0.054000000000000006,,2
NCHB11,Títulos e Val. Mob.,104.0,1744.0,0.7,0.006999999999999999,0.0296,0.0518,0.0518,0.009899999999999999,0.0086,0.0043,0.0189,-0.054900000000000004,-0.0482,-0.037000000000000005,52957163.75,92.73,1.12,,,,,,,0
BCFF11,Títulos e Val. Mob.,86.3,147945.0,0.56,0.0062,0.0178,0.0342,0.063,0.0059,0.005699999999999999,0.0052,0.0123,-0.0232,-0.0172,-0.011200000000000002,1740044376.58,84.62,1.02,,,,,,,0
MGFF11,Títulos e Val. Mob.,86.0,30908.0,0.65,0.0074,0.0218,0.0391,0.0765,0.0073,0.006500000000000001,0.0064,0.0149,0.013000000000000001,0.0206,0.0282,801584532.16,88.57,0.97,,,,,,,0
RBRL11,Logística,107.97,4197.0,0.62,0.0058,0.0176,0.034300000000000004,0.0,0.0059,0.005699999999999999,0.0,0.0113,-0.005600000000000001,0.0001,0.005600000000000001,604529038.62,106.74,1.01,,,,,0.0,0.0,6
RBRP11,Outros,91.2,25725.0,0.52,0.005699999999999999,0.0169,0.0351,0.0674,0.005600000000000001,0.0059,0.005600000000000001,0.011000000000000001,-0.0753,-0.07,-0.065,749270916.6,87.61,1.04,,,,,0.1,0.12,15
RELG11,Híbrido,98.8,2157.0,0.74,0.0076,0.0197,0.0,0.0,0.0066,0.0,0.0,0.0141,-0.0131,-0.005600000000000001,0.0008,89731501.91,96.35,1.03,,,,,0.161,0.161,3
TORD11,Outros,11.85,127154.0,0.12,0.0106,0.0323,0.0701,0.0,0.0108,0.011699999999999999,0.0,0.0239,-0.053399999999999996,-0.0434,-0.030600000000000002,140973966.68,10.41,1.14,,,,,,,0
RECR11,Títulos e Val. Mob.,106.87,38647.0,1.0,0.0087,0.0361,0.0745,0.11960000000000001,0.012,0.0124,0.01,0.0215,0.0259,0.0349,0.0481,1363792786.47,95.8,1.12,,,,,,,0
DEVA11,Títulos e Val. Mob.,118.75,21420.0,1.28,0.010700000000000001,0.045700000000000005,0.0,0.0,0.0152,0.0,0.0,0.0242,-0.16829999999999998,-0.1594,-0.14800000000000002,575390181.8,100.52,1.18,,,,,,,0
